accuracy,balanced_accuracy,corpus_version,dataset,dataset_display,fn,fp,fpr,inference_seconds,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,partition_seed,pr_auc,precision,recall,repetition,roc_auc,scenario,scenario_key,selected_candidate,selected_params_json,threshold,tn,total_run_seconds,tp,tuning_seconds,validation_macro_f1,validation_roc_auc,feature_set,n_features,feature_names_json,shap_setup_seconds,shap_explain_seconds,shap_cohort_size,shap_background_size,shap_seconds_per_sample,model_output_scale
0.9909870620729756,0.979936224623166,master,iscx_url2016_binary,ISCX-URL2016-binary,59,3,0.0005567928730512,0.007662099999834,1.1138392207928516e-06,0.9865434408163554,lr,20261001,5388,1491,6879,20260902,0.990564662628978,0.9979094076655052,0.960429242119383,r00,0.9949268737891342,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.86,5385,5.062369100000069,1432,5.027677399999902,0.7506881356534181,0.807189342563085,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0011488000000099,0.0050593999999364,200,200,2.5296999999682002e-05,raw_log_odds
0.9944759412705335,0.9879845143615964,,iscx_url2016_binary,,35,3,0.0005567928730512249,0.001254799999998113,1.8241023404537185e-07,0.9918013649650603,lr,20261001,5388,1491,6879,20260902,0.992147640044904,0.997943797121316,0.9765258215962441,r00,0.9954353689571229,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.76,5385,4.0293782,1456,3.826732100000001,0.7494576127096759,0.8025847677562459,f_single,15,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""hyphen_count"", ""char_type_transition_count"", ""special_char_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""special_char_ratio"", ""query_length"", ""letter_count"", ""domain_hyphen_ratio"", ""path_length""]",0.001612099999999117,0.006240999999999275,200,200,3.120499999999637e-05,raw_log_odds
0.9934583515045792,0.9892752954251118,,iscx_url2016_binary,,27,18,0.0033407572383073497,0.0012321000000028448,1.791103358050363e-07,0.9903456561066286,lr,20261001,5388,1491,6879,20260902,0.992853378661097,0.9878542510121457,0.9818913480885312,r00,0.9957211718716157,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.67,5370,4.5006588,1464,4.320436300000001,0.7483884378959338,0.7966220924989137,f_stable,11,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""char_type_transition_count"", ""special_char_count"", ""hyphen_count"", ""slash_count"", ""equals_sign_count"", ""special_char_ratio"", ""question_mark_count""]",0.0008076999999957479,0.0053454999999971164,200,200,2.672749999998558e-05,raw_log_odds
0.998691670300916,0.9969818913480886,master,iscx_url2016_binary,ISCX-URL2016-binary,9,0,0.0,0.0480974000001879,6.9919174298863085e-06,0.9980691312213256,rf,20261001,5388,1491,6879,20260902,0.9999791813144294,1.0,0.993963782696177,r00,0.9999941495047991,S3-domain,s3,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.73,5388,8.816732299999785,1482,8.749395999999706,0.998066511046646,0.9991497208937706,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0118328999997174,3.1985829000000194,200,200,0.015992914500000097,positive_class_probability
0.9992731501671754,0.9983232729711603,,iscx_url2016_binary,,5,0,0.0,0.04774459999998726,6.940630905653039e-06,0.998928338982753,rf,20261001,5388,1491,6879,20260902,0.9997916160511381,1.0,0.9966465459423206,r00,0.9999309143651813,S3-domain,s3,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.72,5388,11.762366100000008,1486,8.804552399999977,0.9980674432671157,0.9990206843226873,f_single,15,"[""subdomain_depth"", ""url_length"", ""dot_count"", ""hyphen_count"", ""path_length"", ""hostname_length"", ""longest_repeated_char_run"", ""special_char_count"", ""token_count"", ""char_type_transition_count"", ""token_max_length"", ""slash_count"", ""digit_count"", ""letter_count"", ""token_mean_length""]",0.01721980000002077,2.700737900000007,200,200,0.013503689500000035,positive_class_probability
0.9995638901003053,0.9989939637826961,,iscx_url2016_binary,,3,0,0.0,0.04693439999999782,6.822852158743687e-06,0.9993573158505307,rf,20261001,5388,1491,6879,20260902,0.9998244959053795,1.0,0.9979879275653923,r00,0.9999406236976424,S3-domain,s3,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.65,5388,10.752395100000001,1488,7.238502299999993,0.998066511046646,0.9987744679133475,f_stable,15,"[""subdomain_depth"", ""url_length"", ""dot_count"", ""hyphen_count"", ""path_length"", ""hostname_length"", ""token_count"", ""longest_repeated_char_run"", ""special_char_count"", ""token_max_length"", ""letter_count"", ""char_type_transition_count"", ""slash_count"", ""token_mean_length"", ""digit_count""]",0.01369420000000332,3.286524799999995,200,200,0.016432623999999976,positive_class_probability
0.9997092600668702,0.999329309188464,master,iscx_url2016_binary,ISCX-URL2016-binary,2,0,0.0,0.0077089000001251,1.1206425352704086e-06,0.9995716479380692,xgb,20261001,5388,1491,6879,20260902,0.9999991006491626,1.0,0.9986586183769284,r00,0.9999997510427574,S3-domain,s3,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.537326264507809, ""subsample"": 0.9}",0.91,5388,5.082260000000133,1489,5.046843099999933,0.9989268745006724,0.999186930853174,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0384644000000662,0.025604899999962,200,200,0.00012802449999981,raw_margin
0.9995638901003053,0.9989939637826961,,iscx_url2016_binary,,3,0,0.0,0.007405500000004395,1.0765372873970628e-06,0.9993573158505307,xgb,20261001,5388,1491,6879,20260902,1.0,1.0,0.9979879275653923,r00,1.0,S3-domain,s3,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.537326264507809, ""subsample"": 0.9}",0.87,5388,5.006655300000006,1488,4.746815900000001,0.9982842380078383,0.999614530047673,f_single,15,"[""url_length"", ""subdomain_depth"", ""dot_count"", ""hyphen_count"", ""hostname_length"", ""path_length"", ""token_mean_length"", ""longest_repeated_char_run"", ""token_max_length"", ""url_char_entropy"", ""special_char_ratio"", ""slash_count"", ""registrable_domain_length"", ""token_count"", ""digit_ratio""]",0.038167899999990595,0.028006099999998924,200,200,0.0001400304999999946,raw_margin
0.9997092600668702,0.9993293091884641,,iscx_url2016_binary,,2,0,0.0,0.008155100000010407,1.1855066143349916e-06,0.9995716479380692,xgb,20261001,5388,1491,6879,20260902,1.0,1.0,0.9986586183769283,r00,1.0,S3-domain,s3,xgb_d6_lr005,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",0.79,5388,4.85630279999998,1489,4.504154299999982,0.9989268745006723,0.9992995698150287,f_stable,14,"[""url_length"", ""subdomain_depth"", ""dot_count"", ""hostname_length"", ""hyphen_count"", ""path_length"", ""token_mean_length"", ""longest_repeated_char_run"", ""token_max_length"", ""digit_ratio"", ""tld_length"", ""registrable_domain_length"", ""slash_count"", ""token_count""]",0.13677039999998897,0.030787700000018958,200,200,0.0001539385000000948,raw_margin
0.7762577228596647,0.8510668852173662,master,iscx_url2016_binary,ISCX-URL2016-binary,23,1498,0.2824816141806525,0.0037750999999843,5.553250956140596e-07,0.746387550722144,lr,20261002,5303,1495,6798,20260903,0.4936915408612404,0.4956228956228956,0.9846153846153848,r01,0.7957819042291326,S3-domain,s3,lr_c01,"{""C"": 0.1, ""class_weight"": null}",0.66,3805,6.699763300000086,1472,6.672647600000346,0.98501293229816,0.9930059197053144,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0010450999998283,0.0047897999997985,200,200,2.39489999989925e-05,raw_log_odds
