accuracy,balanced_accuracy,corpus_version,dataset,dataset_display,fn,fp,fpr,inference_seconds,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,partition_seed,pr_auc,precision,recall,repetition,roc_auc,scenario,scenario_key,selected_candidate,selected_params_json,threshold,tn,total_run_seconds,tp,tuning_seconds,validation_macro_f1,validation_roc_auc
0.9826521611290797,0.9735076976013886,master,iscx_url2016_binary,ISCX-URL2016-binary,64,54,0.010175240248728096,0.004640899999685644,6.822846221237347e-07,0.9746478784264575,lr,20261001,5307,1495,6802,20260902,0.9869703354292494,0.9636363636363636,0.9571906354515051,r00,0.9942330222026438,S0-row,s0,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.4,5253,4.880654999999933,1431,4.843806000000313,0.9753389442345128,0.9924977970291725
0.9973537194942664,0.9961420298677899,master,iscx_url2016_binary,ISCX-URL2016-binary,9,9,0.0016958733747880158,0.050324799999998504,7.398529844163261e-06,0.9961420298677899,rf,20261001,5307,1495,6802,20260902,0.9998563756840578,0.9939799331103679,0.9939799331103679,r00,0.9999582806326975,S0-row,s0,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.29,5298,9.867872499999976,1486,9.789910699999837,0.9952822407020204,0.9999324296215428
0.9983828285798294,0.9972820021263012,master,iscx_url2016_binary,ISCX-URL2016-binary,7,4,0.0007537214999057848,0.006996800000251824,1.0286386357324057e-06,0.9976406505361732,xgb,20261001,5307,1495,6802,20260902,0.9992126633211083,0.9973190348525469,0.9953177257525083,r00,0.9994822261000648,S0-row,s0,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",0.24,5303,5.661804200000006,1488,5.632656600000246,0.9959265508756202,0.9993564425708512
0.9839753013819464,0.9666681791512819,master,iscx_url2016_binary,ISCX-URL2016-binary,96,13,0.0024495948746938007,0.0021507999999812455,3.1620111731567855e-07,0.9761572635660478,lr,20261002,5307,1495,6802,20260903,0.9875506268005625,0.9907932011331445,0.9357859531772575,r01,0.9944519543506936,S0-row,s0,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.67,5294,3.9989459999997052,1399,3.9680106999999225,0.9759676420399058,0.9949144465721269
0.9969126727433107,0.996580083224466,master,iscx_url2016_binary,ISCX-URL2016-binary,6,15,0.002826455624646693,0.061629899999843474,9.060555718883193e-06,0.9955087339344137,rf,20261002,5307,1495,6802,20260903,0.9998718677354571,0.9900265957446809,0.9959866220735786,r01,0.9999634482884662,S0-row,s0,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.31,5292,10.30660080000007,1489,10.215580399999908,0.9974241979702634,0.9999513392423798
0.9972067039106145,0.9970087465724893,master,iscx_url2016_binary,ISCX-URL2016-binary,5,14,0.0026380252496702467,0.010585100000298553,1.5561746545572704e-06,0.9959364735597077,xgb,20261002,5307,1495,6802,20260903,0.9998528791214729,0.9906914893617021,0.9966555183946488,r01,0.9999580285519283,S0-row,s0,xgb_d4_lr005,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",0.21,5293,7.643822399999863,1490,7.572988100000202,0.9974254382799208,0.9999312950442927
0.9817700676271685,0.9602100589049738,master,iscx_url2016_binary,ISCX-URL2016-binary,117,7,0.0013190126248351234,0.0044018999997206265,6.471478976360815e-07,0.9726907973807453,lr,20261003,5307,1495,6802,20260904,0.9836861460953265,0.9949458483754513,0.9217391304347826,r02,0.9922042761721285,S0-row,s0,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.68,5300,5.87465899999961,1378,5.834878000000117,0.9804443539649568,0.9952075456950988
0.9972067039106145,0.9943661838689735,master,iscx_url2016_binary,ISCX-URL2016-binary,16,3,0.0005652911249293386,0.04187000000001717,6.1555424875062e-06,0.9959149186136719,rf,20261003,5307,1495,6802,20260904,0.9996833581290795,0.9979757085020243,0.9892976588628762,r02,0.9998917313096289,S0-row,s0,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.42,5304,11.413435299999946,1479,11.337755099999868,0.9976394168260536,0.9999416323036835
0.9991179064980888,0.99871400995593,master,iscx_url2016_binary,ISCX-URL2016-binary,3,3,0.0005652911249293386,0.007564099999854079,1.1120405762796353e-06,0.99871400995593,xgb,20261003,5307,1495,6802,20260904,0.9997200955295924,0.9979933110367893,0.9979933110367893,r02,0.9998997978942432,S0-row,s0,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",0.24,5304,6.459307199999785,1492,6.4158118999998806,0.9980713982490304,0.999962558950743
0.9863275507203764,0.9739412135042189,master,iscx_url2016_binary,ISCX-URL2016-binary,72,21,0.00395703787450537,0.003869699999995646,5.6890620405699e-07,0.9798182356772422,lr,20261004,5307,1495,6802,20260905,0.9900082139839979,0.9854570637119113,0.9518394648829431,r03,0.9947627699391162,S0-row,s0,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.5,5286,5.578841900000043,1423,5.536210700000083,0.9779348448414061,0.9942096219714667
