accuracy,balanced_accuracy,corpus_version,dataset,dataset_display,fn,fp,fpr,inference_seconds,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,partition_seed,pr_auc,precision,recall,repetition,roc_auc,scenario,scenario_key,selected_candidate,selected_params_json,threshold,tn,total_run_seconds,tp,tuning_seconds,validation_macro_f1,validation_roc_auc,feature_set,n_features,feature_names_json,shap_setup_seconds,shap_explain_seconds,shap_cohort_size,shap_background_size,shap_seconds_per_sample,model_output_scale,f_all,macro_f1_delta
0.9909870620729756,0.979936224623166,master,iscx_url2016_binary,ISCX-URL2016-binary,59,3,0.0005567928730512,0.007662099999834,1.1138392207928516e-06,0.9865434408163554,lr,20261001,5388,1491,6879,20260902.0,0.990564662628978,0.9979094076655052,0.960429242119383,r00,0.9949268737891342,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.86,5385,5.062369100000069,1432,5.027677399999902,0.7506881356534181,0.807189342563085,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0011488000000099,0.0050593999999364,200.0,200.0,2.5296999999682e-05,raw_log_odds,0.9865434408163554,0.0
0.9914231719726704,0.9804571676532844,,iscx_url2016_binary,,58,1,0.0001855976243504,0.0015391000000004,2.2373891554011625e-07,0.9871913692018928,lr,20261001,5388,1491,6879,,0.9956303093501858,0.999302649930265,0.9610999329309188,r00,0.9972085669174662,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.86,5387,,1433,4.3873457,0.7453312979801332,0.7834631372284383,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",,,,,,,0.9865434408163554,0.0006479283855373996
0.9443233028056404,0.9557263775675582,,iscx_url2016_binary,,36,347,0.0644023756495916,0.0012019000000691,1.7472016282441417e-07,0.9235472485106097,lr,20261001,5388,1491,6879,,0.9889710554992026,0.8074361820199778,0.9758551307847082,r00,0.9942132378532516,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.8,5041,,1455,3.1499118000001545,0.7502288373527879,0.7988659161186606,f_permutation,15,"[""subdomain_depth"", ""dot_count"", ""token_count"", ""char_type_transition_count"", ""slash_count"", ""hyphen_count"", ""special_char_ratio"", ""tld_length"", ""registrable_domain_length"", ""query_length"", ""equals_sign_count"", ""special_char_count"", ""letter_count"", ""url_length"", ""question_mark_count""]",,,,,,,0.9865434408163554,-0.06299619230574571
0.9944759412705336,0.9879845143615964,,iscx_url2016_binary,,35,3,0.0005567928730512,0.0012547999999981,1.8241023404537185e-07,0.9918013649650604,lr,20261001,5388,1491,6879,20260902.0,0.992147640044904,0.997943797121316,0.976525821596244,r00,0.9954353689571228,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.76,5385,4.0293782,1456,3.826732100000001,0.7494576127096759,0.8025847677562459,f_single,15,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""hyphen_count"", ""char_type_transition_count"", ""special_char_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""special_char_ratio"", ""query_length"", ""letter_count"", ""domain_hyphen_ratio"", ""path_length""]",0.0016120999999991,0.0062409999999992,200.0,200.0,3.120499999999637e-05,raw_log_odds,0.9865434408163554,0.005257924148705073
0.9934583515045792,0.9892752954251118,,iscx_url2016_binary,,27,18,0.0033407572383073,0.0012321000000028,1.791103358050363e-07,0.9903456561066286,lr,20261001,5388,1491,6879,20260902.0,0.992853378661097,0.9878542510121456,0.9818913480885312,r00,0.9957211718716156,S3-domain,s3,lr_c1,"{""C"": 1.0, ""class_weight"": null}",0.67,5370,4.5006588,1464,4.320436300000001,0.7483884378959338,0.7966220924989137,f_stable,11,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""char_type_transition_count"", ""special_char_count"", ""hyphen_count"", ""slash_count"", ""equals_sign_count"", ""special_char_ratio"", ""question_mark_count""]",0.0008076999999957,0.0053454999999971,200.0,200.0,2.672749999998558e-05,raw_log_odds,0.9865434408163554,0.0038022152902732476
0.998691670300916,0.9969818913480886,master,iscx_url2016_binary,ISCX-URL2016-binary,9,0,0.0,0.0480974000001879,6.9919174298863085e-06,0.9980691312213256,rf,20261001,5388,1491,6879,20260902.0,0.9999791813144294,1.0,0.993963782696177,r00,0.9999941495047991,S3-domain,s3,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.73,5388,8.816732299999785,1482,8.749395999999706,0.998066511046646,0.9991497208937706,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.0118328999997174,3.1985829000000194,200.0,200.0,0.0159929145,positive_class_probability,0.9980691312213256,0.0
0.9925861317051896,0.9828973843058352,,iscx_url2016_binary,,51,0,0.0,0.0426270000002659,6.196685564800986e-06,0.9889446745923772,rf,20261001,5388,1491,6879,,0.9999411373778728,1.0,0.96579476861167,r00,0.9999831953861252,S3-domain,s3,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.82,5388,,1440,6.459810400000151,0.9959201580083552,0.9980856421902916,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",,,,,,,0.9980691312213256,-0.00912445662894834
0.9997092600668702,0.999329309188464,,iscx_url2016_binary,,2,0,0.0,0.0417120000001887,6.063672045382863e-06,0.9995716479380692,rf,20261001,5388,1491,6879,,0.9994715538500698,1.0,0.9986586183769284,r00,0.9997587604319308,S3-domain,s3,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.62,5388,,1489,5.829562200000055,0.9989268745006724,0.9992077432033486,f_permutation,15,"[""url_length"", ""subdomain_depth"", ""dot_count"", ""hostname_length"", ""path_length"", ""hyphen_count"", ""token_max_length"", ""slash_count"", ""longest_repeated_char_run"", ""tld_length"", ""question_mark_count"", ""domain_digit_ratio"", ""host_is_ip"", ""path_segment_count"", ""token_count""]",,,,,,,0.9980691312213256,0.0015025167167436182
0.9992731501671754,0.9983232729711604,,iscx_url2016_binary,,5,0,0.0,0.0477445999999872,6.940630905653039e-06,0.998928338982753,rf,20261001,5388,1491,6879,20260902.0,0.999791616051138,1.0,0.9966465459423206,r00,0.9999309143651812,S3-domain,s3,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.72,5388,11.762366100000008,1486,8.804552399999977,0.9980674432671156,0.9990206843226872,f_single,15,"[""subdomain_depth"", ""url_length"", ""dot_count"", ""hyphen_count"", ""path_length"", ""hostname_length"", ""longest_repeated_char_run"", ""special_char_count"", ""token_count"", ""char_type_transition_count"", ""token_max_length"", ""slash_count"", ""digit_count"", ""letter_count"", ""token_mean_length""]",0.0172198000000207,2.700737900000007,200.0,200.0,0.0135036895,positive_class_probability,0.9980691312213256,0.0008592077614274496
0.9995638901003052,0.998993963782696,,iscx_url2016_binary,,3,0,0.0,0.0469343999999978,6.822852158743687e-06,0.9993573158505308,rf,20261001,5388,1491,6879,20260902.0,0.9998244959053796,1.0,0.9979879275653925,r00,0.9999406236976424,S3-domain,s3,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.65,5388,10.7523951,1488,7.238502299999993,0.998066511046646,0.9987744679133476,f_stable,15,"[""subdomain_depth"", ""url_length"", ""dot_count"", ""hyphen_count"", ""path_length"", ""hostname_length"", ""token_count"", ""longest_repeated_char_run"", ""special_char_count"", ""token_max_length"", ""letter_count"", ""char_type_transition_count"", ""slash_count"", ""token_mean_length"", ""digit_count""]",0.0136942000000033,3.286524799999995,200.0,200.0,0.0164326239999999,positive_class_probability,0.9980691312213256,0.0012881846292052135
