dataset,scenario_key,model,macro_f1_mean,macro_f1_std,macro_f1_ci_low,macro_f1_ci_high,macro_f1_n
iscx_url2016_binary,s0,lr,0.9749797464963239,0.0027454905627831406,0.9733913537861282,0.9766160706834569,10
iscx_url2016_binary,s0,rf,0.9961632092801865,0.0005059675652492291,0.9958660770727485,0.9964615096471086,10
iscx_url2016_binary,s0,xgb,0.9975564634077788,0.0009583161766310621,0.9969794664752325,0.9981119313944585,10
iscx_url2016_binary,s1,lr,0.9750179651231271,0.002041908406340078,0.9737670471865245,0.9761510696301899,10
iscx_url2016_binary,s1,rf,0.9963982519226381,0.0011500921585105833,0.9957145274265332,0.9970622779189341,10
iscx_url2016_binary,s1,xgb,0.9971487728738371,0.0008418452182126355,0.9966521324742474,0.997623641646158,10
iscx_url2016_binary,s2,lr,0.8873107173864572,0.11066091208634977,0.8181805955842879,0.9478832064095343,10
iscx_url2016_binary,s2,rf,0.947552029322984,0.0953001824562494,0.88054881572591,0.9932773175287016,10
iscx_url2016_binary,s2,xgb,0.9509962061735756,0.08213964815339225,0.897983942221356,0.9923097617144876,10
iscx_url2016_binary,s3,lr,0.8660796838366135,0.12544391837875357,0.7944821962528439,0.9380878171445147,10
iscx_url2016_binary,s3,rf,0.9578460835233887,0.05856650321540845,0.9209546283113462,0.9893740402157606,10
iscx_url2016_binary,s3,xgb,0.8977674317615018,0.11670531306910348,0.8284944676574122,0.9660319495775382,10
phiusiil,s0,lr,0.9865937522277273,0.0014534412285122779,0.9857373467426835,0.9874486050536744,10
phiusiil,s0,rf,0.9915726058074986,0.0006527277780971957,0.9911754109048992,0.9919399853767048,10
phiusiil,s0,xgb,0.9953566629556576,0.0004482519116720182,0.9951050316363654,0.9956285194255813,10
phiusiil,s1,lr,0.9851604616247585,0.0009631498900774287,0.9845924893890432,0.9857195922302514,10
phiusiil,s1,rf,0.9915651606357553,0.0005410635525197842,0.9912357476383391,0.9918723452934977,10
phiusiil,s1,xgb,0.995081699309486,0.0004344451215646324,0.9948012478714753,0.9953101352795555,10
phiusiil,s2,lr,0.9860663843129924,0.0012328672773571597,0.9854003088038973,0.9868369217686613,10
phiusiil,s2,rf,0.9891537062123975,0.00046292713612184445,0.9888782271099247,0.9894181789729971,10
phiusiil,s2,xgb,0.9916341027875234,0.00019934398595944128,0.9915099646916726,0.9917439635384931,10
phiusiil,s3,lr,0.9856512181366608,0.0010180983541327809,0.985078657864468,0.986271895740469,10
phiusiil,s3,rf,0.990177164883805,0.0012087755864894608,0.9894639098930895,0.9908751673373535,10
phiusiil,s3,xgb,0.9935603706906748,0.0009569882679615253,0.9929989749215706,0.994116624470406,10
