relative_path,bytes,sha256,source_path,source_sha256
code/part10_robustness_extensions/results/domain_equal_metrics.csv,131312,fe1608b66ca335b40ccb8b198c154b5afb3e518f7b60445ec36b245edd2b0a6f,part10_robustness_extensions/results/domain_equal_metrics.csv,cbe82692a6570e2fb8dc5d91fbed79183acec2586330438a0daa519dd70e4ea0
code/part10_robustness_extensions/results/external_calibration_metrics.csv,57135,981b7b0d733ed761eb8aebce39274d2a8cf0f7755f2eab6ee3ae1f0c49fd2971,part10_robustness_extensions/results/external_calibration_metrics.csv,9fa7cbb5b954086b8109fa3fe412a0bc9a571abbccde78565b9fe5a06099cf4d
code/part10_robustness_extensions/scripts/analyze_robustness.py,22071,c6b05841baffa7a1559f9b1595821ccf23f63289585c1058e270f32b2e0ae6ff,part10_robustness_extensions/scripts/analyze_robustness.py,c6b05841baffa7a1559f9b1595821ccf23f63289585c1058e270f32b2e0ae6ff
code/part10_robustness_extensions/scripts/train_deduplicated_sensitivity.py,7613,e382fdefda462888b38d19e4d4c939a7854b2b6a90c12318d51afed24a2ae0d5,part10_robustness_extensions/scripts/train_deduplicated_sensitivity.py,e382fdefda462888b38d19e4d4c939a7854b2b6a90c12318d51afed24a2ae0d5
code/part10_robustness_extensions/scripts/validate_outputs.py,3351,52198059dca320448fa2176e2f466bc6fc22f97a0e1c52ddff6aa9e28f8d21ed,part10_robustness_extensions/scripts/validate_outputs.py,52198059dca320448fa2176e2f466bc6fc22f97a0e1c52ddff6aa9e28f8d21ed
code/part11_dcss_innovation/results/dcss_determinism_audit.json,1117,bc04289a99f1ab4b3b302d4c0865ec4efcafaf499df176e8da37f88e10e5c8fe,part11_dcss_innovation/results/dcss_determinism_audit.json,d656d57614c1e7c094e20a12a929bf68609b147bf4743516f45327a1a2a46fff
code/part11_dcss_innovation/results/h1_internal_noninferiority_pairs.csv,4922,f4dc847b963c75ca234cbc78efa4d6cc4ee4924cb7dec08df0dfb2086c9c09c6,part11_dcss_innovation/results/h1_internal_noninferiority_pairs.csv,ebee5f7b0e0a862b5b6cfc6801fb0b3af3721c1dfe1e56a6a00f9f296e8509c3
code/part11_dcss_innovation/results/h2_external_auc_pairs.csv,5815,4715529c86774bd3a91a0f0963edf534220edcd26ff9b88892ab0231591266fb,part11_dcss_innovation/results/h2_external_auc_pairs.csv,cf1ed117a5d361f5dfba172bb5d89311be52b99763b430fb77ee043d804553e1
code/part11_dcss_innovation/results/main_external_metrics_all.csv,1032165,8aa350fde1be2aaa957f7a921f8718b6fdecea102319829189d84e3dd566fa9b,part11_dcss_innovation/results/main_external_metrics_all.csv,97e34aefe504aa5bf28e6fa7354c07679819586fe3f17f717fb5030fb950d70b
code/part11_dcss_innovation/results/main_internal_metrics_all.csv,555586,0c9b1263924ec88bfece272b229b12e4e1af794f4320aa2ad183f33c5c7f22c5,part11_dcss_innovation/results/main_internal_metrics_all.csv,5c4533092acb52637e77363f013cb1936889367c25d9b32169f152628f27dff7
code/part11_dcss_innovation/results/stage11a_validation.json,1698,f03baebb7e40ee60da59b105e1b3f47423e3fb7c31e26ee7e0f260c75dcc8ac5,part11_dcss_innovation/results/stage11a_validation.json,3c30f46b124f5e1cb93ac32bbf0657cb8103adee843bdab2ac3fe8813c5cc549
