relative_path,bytes,sha256
.gitattributes,49,69ab28a6cfc369bc39bc4781f692921ed368264103e55683ecca1fc6f4f4ff6a
.gitignore,549,25169ea1472101d034315335285f64601d4fced74670ca1ea4c972ec14c0880f
ARTIFACT_MANIFEST.csv,44832,9fd60bce5cdec9b7d38126c7f74fed612f944889621860f2bf17a28b89cbf8e5
ARTIFACT_README.md,1990,e2ec3c12b64e0902030657079627c73c3bb0413e2baa1a40ebca9f367299d577
code/part10_robustness_extensions/results/domain_equal_metrics.csv,131312,fe1608b66ca335b40ccb8b198c154b5afb3e518f7b60445ec36b245edd2b0a6f
code/part10_robustness_extensions/results/external_calibration_metrics.csv,57135,981b7b0d733ed761eb8aebce39274d2a8cf0f7755f2eab6ee3ae1f0c49fd2971
code/part10_robustness_extensions/scripts/analyze_robustness.py,22253,b0ea155e970cadb12318114a7bc60bdda34adacc566ec0e54fee376b4fc22666
code/part10_robustness_extensions/scripts/train_deduplicated_sensitivity.py,7613,e382fdefda462888b38d19e4d4c939a7854b2b6a90c12318d51afed24a2ae0d5
code/part10_robustness_extensions/scripts/validate_outputs.py,3351,52198059dca320448fa2176e2f466bc6fc22f97a0e1c52ddff6aa9e28f8d21ed
code/part11_dcss_innovation/results/dcss_determinism_audit.json,1117,bc04289a99f1ab4b3b302d4c0865ec4efcafaf499df176e8da37f88e10e5c8fe
code/part11_dcss_innovation/results/h1_internal_noninferiority_pairs.csv,4922,f4dc847b963c75ca234cbc78efa4d6cc4ee4924cb7dec08df0dfb2086c9c09c6
code/part11_dcss_innovation/results/h2_external_auc_pairs.csv,5815,4715529c86774bd3a91a0f0963edf534220edcd26ff9b88892ab0231591266fb
code/part11_dcss_innovation/results/main_external_metrics_all.csv,1032165,8aa350fde1be2aaa957f7a921f8718b6fdecea102319829189d84e3dd566fa9b
code/part11_dcss_innovation/results/main_internal_metrics_all.csv,555586,0c9b1263924ec88bfece272b229b12e4e1af794f4320aa2ad183f33c5c7f22c5
code/part11_dcss_innovation/results/stage11a_validation.json,1698,f03baebb7e40ee60da59b105e1b3f47423e3fb7c31e26ee7e0f260c75dcc8ac5
code/part11_dcss_innovation/results/stage11b_validation.json,548,d82844c287f2fac7c6f8064f0177a6c1c9b4bffe430d25982900758d9cde568e
code/part11_dcss_innovation/results/stage11c_validation.json,627,a2203122f675f8ca2ab9435123631afb45cd8a263318d30e9325362e739fef2a
code/part11_dcss_innovation/results/stage11d_validation.json,630,c9eb27a881f59cc7fdb07f0fdb21bcece07e7926455b2436e6fa0f14117ffbaf
code/part11_dcss_innovation/results/stage11e_validation.json,862,01269f3e6b1609ba5fac71faea0292aad1ce923678f3fe490f9df490854d6988
