estimand,dataset,model,top15_jaccard_mean,top15_jaccard_std,rank_spearman_mean,rank_spearman_std,n_pairs
partition,ISCX-URL2016,LR,0.8402505446623094,0.08760207923527057,0.9507849932625686,0.02176423403263282,180
partition,ISCX-URL2016,RF,0.8728349673202613,0.08943786029267835,0.9706061097542512,0.027204210762842684,180
partition,ISCX-URL2016,XGBoost,0.7979195333104002,0.08373927516698274,0.9634339924378073,0.0181505206155138,180
partition,PhiUSIIL,LR,0.8213156461414974,0.08894182607809002,0.9538499844382198,0.024288059985991064,180
partition,PhiUSIIL,RF,0.9034722222222222,0.07230758831498461,0.9882990636071582,0.004732806185397304,180
partition,PhiUSIIL,XGBoost,0.9204656862745099,0.06493232473685015,0.9893722477882041,0.005036713988034757,180
regime,ISCX-URL2016,LR,0.7041301169590642,0.0882940276339131,0.8478707175228174,0.06981454196427839,60
regime,ISCX-URL2016,RF,0.819812091503268,0.1000128402140761,0.9404852384883476,0.029385565938573693,60
regime,ISCX-URL2016,XGBoost,0.7671504127966976,0.10336733302325403,0.9564216137193929,0.015440779767445834,60
regime,PhiUSIIL,LR,0.7155535898569954,0.11490201922811531,0.9034313725490197,0.05906603352294474,60
regime,PhiUSIIL,RF,0.8973039215686274,0.07048751052790751,0.977856745755162,0.007811127472841874,60
regime,PhiUSIIL,XGBoost,0.8813725490196078,0.06875670304795452,0.9801417187485131,0.008355386488703799,60
seed,ISCX-URL2016,LR,1.0,0.0,1.0,0.0,90
seed,ISCX-URL2016,RF,0.9392156862745098,0.0673078365006567,0.9890421374485823,0.004596307114324387,90
seed,ISCX-URL2016,XGBoost,0.8757352941176471,0.06231432120898126,0.9861590673645181,0.0049937495624531635,90
seed,PhiUSIIL,LR,1.0,0.0,1.0,0.0,90
seed,PhiUSIIL,RF,0.9098856209150327,0.05891187507301801,0.991061482987445,0.003515979444113816,90
seed,PhiUSIIL,XGBoost,0.9187091503267975,0.06898868866282334,0.9886294016225523,0.004439715125370816,90
source,ISCX-URL2016,LR,0.7191692466460269,0.09784250236427428,0.8918690943828672,0.02012719650177316,10
source,ISCX-URL2016,RF,0.7879901960784313,0.06723464080561375,0.9413974830040509,0.02198609160461336,10
source,ISCX-URL2016,XGBoost,0.6422600619195047,0.0721279669959515,0.8785606297714684,0.014230113002755704,10
source,PhiUSIIL,LR,0.729656862745098,0.09953951443736768,0.8943697478991597,0.030042573615844913,10
source,PhiUSIIL,RF,0.6228070175438597,0.0462321295346254,0.8097696752883328,0.010701431990752144,10
source,PhiUSIIL,XGBoost,0.6764705882352942,0.03100272215851352,0.9301853025876895,0.018786594357411684,10
