scope,source_dataset,target_dataset,repetition,model,feature_set,row_macro_f1,n_rows,n_domains,domain_equal_macro_f1,domain_equal_balanced_accuracy,domain_equal_recall,domain_equal_fpr,weighted_tn,weighted_fp,weighted_fn,weighted_tp
internal,iscx_url2016_binary,iscx_url2016_binary,r00,lr,f_all,0.9865434408163554,6879,190,0.6961668032716082,0.9404172767900414,0.8811817758023051,0.00034722222222222224,8.996875,0.003125,21.50609857978279,159.49390142021718
internal,iscx_url2016_binary,iscx_url2016_binary,r00,lr,f_single,0.9918013649650603,6879,190,0.7456586146355183,0.9568463559335725,0.9140399340893671,0.00034722222222222224,8.996875,0.003125,15.558771929824562,165.44122807017544
internal,iscx_url2016_binary,iscx_url2016_binary,r00,lr,f_stable,0.9903456561066286,6879,190,0.7878600694822288,0.9670670575569538,0.936309004555588,0.0021748894416804858,8.980425995024877,0.019574004975124376,11.528070175438597,169.47192982456139
internal,iscx_url2016_binary,iscx_url2016_binary,r00,lr,f_mi,0.9871913692018927,6879,190,0.678259135665128,0.9333968846761636,0.8670010662014151,0.00020729684908789387,8.998134328358208,0.0018656716417910447,24.07280701754386,156.92719298245615
internal,iscx_url2016_binary,iscx_url2016_binary,r00,lr,f_permutation,0.9235472485106095,6879,190,0.7281443940243767,0.9340970774037634,0.908539304061258,0.040345149253731345,8.636893656716417,0.36310634328358204,16.55438596491228,164.44561403508771
internal,iscx_url2016_binary,iscx_url2016_binary,r00,rf,f_all,0.9980691312213257,6879,190,0.9663842118384405,0.9966097438473129,0.9932194876946259,0.0,9.0,0.0,1.2272727272727273,179.77272727272725
internal,iscx_url2016_binary,iscx_url2016_binary,r00,rf,f_single,0.998928338982753,6879,190,0.9431023406029477,0.9939950013154433,0.9879900026308867,0.0,9.0,0.0,2.1738095238095236,178.82619047619048
internal,iscx_url2016_binary,iscx_url2016_binary,r00,rf,f_stable,0.9993573158505307,6879,190,0.9679485892157846,0.9967771639042358,0.9935543278084715,0.0,9.0,0.0,1.1666666666666665,179.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r00,rf,f_mi,0.9889446745923772,6879,190,0.8610180333246045,0.98251431777166,0.96502863554332,0.0,9.0,0.0,6.329816966659072,174.67018303334092
internal,iscx_url2016_binary,iscx_url2016_binary,r00,rf,f_permutation,0.9995716479380692,6879,190,0.995182535423155,0.9995395948434622,0.9990791896869246,0.0,9.0,0.0,0.16666666666666666,180.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r00,xgb,f_all,0.9995716479380692,6879,190,0.995182535423155,0.9995395948434622,0.9990791896869246,0.0,9.0,0.0,0.16666666666666666,180.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r00,xgb,f_single,0.9993573158505307,6879,190,0.9679485892157846,0.9967771639042358,0.9935543278084715,0.0,9.0,0.0,1.1666666666666665,179.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r00,xgb,f_stable,0.9995716479380692,6879,190,0.995182535423155,0.9995395948434622,0.9990791896869246,0.0,9.0,0.0,0.16666666666666666,180.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r00,xgb,f_mi,0.9913527910409937,6879,190,0.8713523357718947,0.9841914555348694,0.9683829110697387,0.0,9.0,0.0,5.7226930963773075,175.27730690362267
internal,iscx_url2016_binary,iscx_url2016_binary,r00,xgb,f_permutation,0.998928338982753,6879,190,0.9432703386554074,0.9940147329650093,0.9880294659300185,0.0,9.0,0.0,2.1666666666666665,178.83333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r01,lr,f_all,0.746387550722144,6798,188,0.8260997804473821,0.9288753525333602,0.9298296613627092,0.0720789562959889,14.846736699264175,1.1532633007358222,12.069298245614034,159.93070175438598
internal,iscx_url2016_binary,iscx_url2016_binary,r01,lr,f_single,0.7446229663444304,6798,188,0.760631059985015,0.9066129450607436,0.8844808241534068,0.07125493403191958,14.859921055489286,1.1400789445107133,19.869298245614033,152.13070175438597
internal,iscx_url2016_binary,iscx_url2016_binary,r01,lr,f_stable,0.7428131604737109,6798,188,0.7391813499014337,0.8976127832043931,0.8670328048392562,0.07180723843047,14.85108418511248,1.14891581488752,22.870357567647932,149.12964243235206
internal,iscx_url2016_binary,iscx_url2016_binary,r01,lr,f_mi,0.7433410225873139,6798,188,0.8387475767191224,0.9317951608187864,0.9375815993472052,0.07399127770963215,14.816139556645885,1.1838604433541144,10.7359649122807,161.26403508771932
internal,iscx_url2016_binary,iscx_url2016_binary,r01,lr,f_permutation,0.5139251367487756,6798,188,0.7005641367352559,0.8794329467550759,0.8317426708770349,0.07287677736688322,14.833971562129868,1.1660284378701316,28.940260609149995,143.05973939085
internal,iscx_url2016_binary,iscx_url2016_binary,r01,rf,f_all,0.9210074610333374,6798,188,0.9383292045204312,0.9747246072316083,0.9801356589147288,0.030686444451512356,15.509016888775802,0.4909831112241977,3.416666666666667,168.58333333333331
internal,iscx_url2016_binary,iscx_url2016_binary,r01,rf,f_single,0.9523772141571966,6798,188,0.9099368258042606,0.9775683647967445,0.9653457772337821,0.010209047640293184,15.83665523775531,0.16334476224469094,5.960526315789473,166.0394736842105
internal,iscx_url2016_binary,iscx_url2016_binary,r01,rf,f_stable,0.9923049223870262,6798,188,0.8989892410661418,0.9761759264333714,0.9598378212974296,0.007485968430686969,15.880224505109009,0.1197754948909915,6.907894736842104,165.0921052631579
internal,iscx_url2016_binary,iscx_url2016_binary,r01,rf,f_mi,0.8592377537283785,6798,188,0.9126421454178374,0.9619576185268236,0.9711597307221542,0.04724449366850707,15.244088101303888,0.7559118986961131,4.960526315789474,167.03947368421052
internal,iscx_url2016_binary,iscx_url2016_binary,r01,rf,f_permutation,0.9898029694089082,6798,188,0.9311517674693851,0.9803260841827772,0.9752906976744186,0.014638529308864223,15.765783531058172,0.23421646894182757,4.25,167.75
internal,iscx_url2016_binary,iscx_url2016_binary,r01,xgb,f_all,0.7585857834602212,6798,188,0.9631422707615556,0.9611862057637878,0.9941860465116279,0.0718136349840523,14.850981840255162,1.1490181597448368,1.0,171.0
internal,iscx_url2016_binary,iscx_url2016_binary,r01,xgb,f_single,0.9581684353384285,6798,188,0.9531715655048396,0.9860894201339145,0.9840116279069767,0.011832787639147775,15.810675397773634,0.18932460222636438,2.75,169.25
internal,iscx_url2016_binary,iscx_url2016_binary,r01,xgb,f_stable,0.6972372270178311,6798,188,0.931434179509148,0.9422591425646196,0.9854651162790697,0.10094683114983043,14.384850701602712,1.6151492983972866,2.5,169.5
internal,iscx_url2016_binary,iscx_url2016_binary,r01,xgb,f_mi,0.7658548351315122,6798,188,0.934170000983485,0.9536164219393024,0.9837056303549572,0.07647278647635228,14.776435416378364,1.2235645836216364,2.802631578947368,169.1973684210526
